<b>Codepoint</b>,<b>Character</b>,<b>Description</b>,<b>Result</b>
U+09A1 U+0981,ডঁ,ASSAMESE LETTER DDA + ASSAMESE LETTER CHANDRABINDU,Matched
U+09A1 U+09BC,ড়,DDA+NUKTA,Matched
U+09A1 U+09C1,ডু,DDA + ASSAMESE VOWEL SIGN U,Matched
U+09A1 U+09C2,ডূ,DDA + ASSAMESE VOWEL SIGN UU,Matched
U+09A1 U+09C3,ডৃ,DDA + ASSAMESE VOWEL SIGN VOCALIC R,Matched
U+09A1 U+09CD,ড্,DDA+HALANT,Matched
U+09A2 U+0981,ঢঁ,ASSAMESE LETTER DDHA + ASSAMESE LETTER CHANDRABINDU,Matched
U+09A2 U+09BC,ঢ়,DDHA+NUKTA,Matched
U+09A2 U+09C1,ঢু,DDHA + ASSAMESE VOWEL SIGN U,Matched
U+09A2 U+09C2,ঢূ,DDHA + ASSAMESE VOWEL SIGN UU,Matched
U+09A2 U+09C3,ঢৃ,DDHA + ASSAMESE VOWEL SIGN VOCALIC R,Matched
U+09A2 U+09CD,ঢ্,DDHA+HALANT,Matched
U+09A3 U+09C1,ণু,NNA + ASSAMESE VOWEL SIGN U,Matched
U+09A3 U+09C2,ণূ,NNA + ASSAMESE VOWEL SIGN UU,Matched
U+09A3 U+09C3,ণৃ,NNA + ASSAMESE VOWEL SIGN VOCALIC R,Matched
U+09A3 U+09CD,ণ্,NNA+HALANT,Matched
U+09A4 U+0981,তঁ,ASSAMESE LETTER TA + ASSAMESE LETTER CHANDRABINDU,Matched
U+09A4 U+09C1,তু,TA + ASSAMESE VOWEL SIGN U,Matched
U+09A4 U+09C2,তূ,TA + ASSAMESE VOWEL SIGN UU,Matched
U+09A4 U+09C3,তৃ,TA + ASSAMESE VOWEL SIGN VOCALIC R,Matched
U+09A4 U+09CD,ত্,TA+HALANT,Matched
U+09A5 U+0981,থঁ,ASSAMESE LETTER THA + ASSAMESE LETTER CHANDRABINDU,Matched
U+09A5 U+09C1,থু,THA + ASSAMESE VOWEL SIGN U,Matched
U+09A5 U+09C2,থূ,THA + ASSAMESE VOWEL SIGN UU,Matched
U+09A5 U+09C3,থৃ,THA + ASSAMESE VOWEL SIGN VOCALIC R,Matched
U+09A5 U+09CD,থ্,THA+HALANT,Matched
U+09A6 U+0981,দঁ,ASSAMESE LETTER DA + ASSAMESE LETTER CHANDRABINDU,Matched
U+09A6 U+09C1,দু,DA + ASSAMESE VOWEL SIGN U,Matched
U+09A6 U+09C2,দূ,DA + ASSAMESE VOWEL SIGN UU,Matched
U+09A6 U+09C3,দৃ,DA + ASSAMESE VOWEL SIGN VOCALIC R,Matched
U+09A6 U+09CD,দ্,DA+HALANT,Matched
U+09A7 U+0981,ধঁ,ASSAMESE LETTER DHA + ASSAMESE LETTER CHANDRABINDU,Matched
U+09A7 U+09C1,ধু,DHA + ASSAMESE VOWEL SIGN U,Matched
U+09A7 U+09C2,ধূ,DHA + ASSAMESE VOWEL SIGN UU,Matched
U+09A7 U+09C3,ধৃ,DHA + ASSAMESE VOWEL SIGN VOCALIC R,Matched
U+09A7 U+09CD,ধ্,DHA+HALANT,Matched
U+09A8 U+09C1,নু,NA + ASSAMESE VOWEL SIGN U,Matched
U+09A8 U+09C2,নূ,NA + ASSAMESE VOWEL SIGN UU,Matched
U+09A8 U+09C3,নৃ,NA + ASSAMESE VOWEL SIGN VOCALIC R,Matched
U+09A8 U+09CD,ন্,NA+HALANT,Matched
U+09AA U+0981,পঁ,ASSAMESE LETTER PA + ASSAMESE LETTER CHANDRABINDU,Matched
U+09AA U+09C1,পু,PA + ASSAMESE VOWEL SIGN U,Matched
U+09AA U+09C2,পূ,PA + ASSAMESE VOWEL SIGN UU,Matched
U+09AA U+09C3,পৃ,PA + ASSAMESE VOWEL SIGN VOCALIC R,Matched
U+09AA U+09CD,প্,PA+HALANT,Matched
U+09AB U+0981,ফঁ,ASSAMESE LETTER PHA + ASSAMESE LETTER CHANDRABINDU,Matched
U+09AB U+09C1,ফু,PHA + ASSAMESE VOWEL SIGN U,Matched
U+09AB U+09C2,ফূ,PHA + ASSAMESE VOWEL SIGN UU,Matched
U+09AB U+09C3,ফৃ,PHA + ASSAMESE VOWEL SIGN VOCALIC R,Matched
U+09AB U+09CD,ফ্,PHA+HALANT,Matched
U+09AC U+0981,বঁ,ASSAMESE LETTER BA + ASSAMESE LETTER CHANDRABINDU,Matched
U+09AC U+09C1,বু,BA + ASSAMESE VOWEL SIGN U,Matched
U+09AC U+09C2,বূ,BA + ASSAMESE VOWEL SIGN UU,Matched
U+09AC U+09C3,বৃ,BA + ASSAMESE VOWEL SIGN VOCALIC R,Matched
U+09AC U+09CD,ব্,BA+HALANT,Matched
U+09AD U+0981,ভঁ,ASSAMESE LETTER BHA + ASSAMESE LETTER CHANDRABINDU,Matched
U+09AD U+09C1,ভু,BHA + ASSAMESE VOWEL SIGN U,Matched
U+09AD U+09C2,ভূ,BHA + ASSAMESE VOWEL SIGN UU,Matched
U+09AD U+09C3,ভৃ,BHA + ASSAMESE VOWEL SIGN VOCALIC R,Matched
U+09AD U+09CD,ভ্,BHA+HALANT,Matched
U+09AE U+0981,মঁ,ASSAMESE LETTER MA + ASSAMESE LETTER CHANDRABINDU,Matched
U+09AE U+09C1,মু,MA + ASSAMESE VOWEL SIGN U,Matched
U+09AE U+09C2,মূ,MA + ASSAMESE VOWEL SIGN UU,Matched
U+09AE U+09C3,মৃ,MA + ASSAMESE VOWEL SIGN VOCALIC R,Matched
U+09AE U+09CD,ম্,MA+HALANT,Matched
U+09AF U+0981,যঁ,ASSAMESE LETTER YA + ASSAMESE LETTER CHANDRABINDU,Matched
U+09AF U+09BC,য়,YA+NUKTA,Matched
U+09AF U+09C1,যু,YA + ASSAMESE VOWEL SIGN U,Matched
U+09AF U+09C2,যূ,YA + ASSAMESE VOWEL SIGN UU,Matched
U+09AF U+09C3,যৃ,YA + ASSAMESE VOWEL SIGN VOCALIC R,Matched
U+09AF U+09CD,য্,YA+HALANT,Matched
U+09B0 U+09CD,ৰ্,RA+HALANT,Matched
U+09B2 U+0981,লঁ,ASSAMESE LETTER LA + ASSAMESE LETTER CHANDRABINDU,Matched
U+09B2 U+09C1,লু,LA + ASSAMESE VOWEL SIGN U,Matched
U+09B2 U+09C2,লূ,LA + ASSAMESE VOWEL SIGN UU,Matched
U+09B2 U+09C3,লৃ,LA + ASSAMESE VOWEL SIGN VOCALIC R,Matched
U+09B2 U+09CD,ল্,LA+HALANT,Matched
U+09B6 U+0981,শঁ,ASSAMESE LETTER SHA + ASSAMESE LETTER CHANDRABINDU,Matched
U+09B6 U+09C1,শু,SHA + ASSAMESE VOWEL SIGN U,Matched
